Scientific Name,Common Name,Species Type,Status,Reason For Change,Year
Craterispermum microdon,,Flowering Plants,EN,N,2011.0
Deckenia nobilis,,Flowering Plants,VU,N,2011.0
Dillenia ferruginea,,Flowering Plants,NT,N,2011.0
Diospyros seychellarum,,Flowering Plants,NT,N,2011.0
Erythroxylum sechellarum,,Flowering Plants,LC,N,2011.0
Glionnetia sericea,,Flowering Plants,EN,N,2011.0
Grisollea thomassetii,,Flowering Plants,CR,N,2011.0
Ixora pudica,,Flowering Plants,NT,N,2011.0
Limonium strictissimum,,Flowering Plants,EN,N,2011.0
Lodoicea maldivica,Coco de Mer,Flowering Plants,EN,N,2011.0
Memecylon elaeagni,,Flowering Plants,LC,N,2011.0
Mimusops sechellarum,,Flowering Plants,NT,N,2011.0
Nephrosperma van-houtteanum,,Flowering Plants,LC,N,2011.0
Pandanus multispicatus,,Flowering Plants,NT,N,2011.0
Pandanus sechellarum,Seychelles Pandanus,Flowering Plants,NT,N,2011.0
Phoenicophorium borsigianum,,Flowering Plants,LC,N,2011.0
Rothmannia annae,Wright's Gardenia,Flowering Plants,CR,N,2011.0
Schefflera procumbens,,Flowering Plants,CR,N,2011.0
Silene hicesiae,,Flowering Plants,VU,G,2011.0
Verschaffeltia splendida,,Flowering Plants,NT,N,2011.0
Zelkova abelicea,,Flowering Plants,EN,N,2011.0
Abies cephalonica,Greek Fir,Conifer,LC,N,2011.0
Abies koreana,Korean Fir,Conifer,EN,N,2011.0
Abies numidica,,Conifer,CR,N,2011.0
Abies pinsapo,,Conifer,EN,G,2011.0
Abies spectabilis,,Conifer,NT,N,2011.0
Abies ziyuanensis,Ziyuan Fir,Conifer,EN,N,2011.0
Glyptostrobus pensilis,,Conifer,CR,G,2011.0
Juniperus brevifolia,,Conifer,VU,N,2011.0
Picea koyamae,Koyama's Spruce,Conifer,CR,N,2011.0
Picea omorika,Serbian Spruce,Conifer,EN,N,2011.0
Pinus longaeva,,Conifer,LC,N,2011.0
Taxus contorta,,Conifer,EN,G,2011.0
Taxus wallichiana,,Conifer,EN,N,2011.0
Tetraclinis articulata,,Conifer,LC,N,2011.0
Thuja koraiensis,,Conifer,VU,N,2011.0
Eumetopias jubatus,Steller Sea Lion,Mammal,NT,G,2012.0
Vulpes pallida,Pale Fox,Mammal,LC,N,2012.0
Accipiter poliogaster,Gray-bellied Hawk,Bird,NT,G,2012.0
Aceros cassidix,Knobbed Hornbill,Bird,VU,N,2012.0
Actophilornis albinucha,Madagascar Jacana,Bird,NT,N,2012.0
Agamia agami,Agami Heron,Bird,VU,G,2012.0
Alectoris graeca,Rock Partridge,Bird,NT,N,2012.0
Amazona auropalliata,Yellow-naped Amazon,Bird,VU,N,2012.0
Amazona festiva,Festive Amazon,Bird,VU,G,2012.0
Amazona kawalli,Kawall's Amazon,Bird,NT,G,2012.0
Amytornis dorotheae,Carpentarian Grasswren,Bird,NT,N,2012.0
Amytornis housei,Black Grasswren,Bird,NT,G,2012.0
Amytornis merrotsyi,Short-tailed Grasswren,Bird,NT,G,2012.0
Aphelocoma insularis,Island Scrub-jay,Bird,VU,G,2012.0
Aptenodytes forsteri,Emperor Penguin,Bird,NT,N,2012.0
Arborophila gingica,Rickett's Hill-partridge,Bird,NT,N,2012.0
Ardeotis arabs,Arabian Bustard,Bird,NT,N,2012.0
Ardeotis australis,Australian Bustard,Bird,LC,N,2012.0
Arremon castaneiceps,Olive Finch,Bird,NT,G,2012.0
Asthenes helleri,Puna Thistletail,Bird,VU,G,2012.0
Atrichornis clamosus,Noisy Scrub-bird,Bird,EN,G,2012.0
Atrichornis rufescens,Rufous Scrub-bird,Bird,EN,G,2012.0
Aythya baeri,Baer's Pochard,Bird,CR,G,2012.0
Balearica regulorum,Grey Crowned-crane,Bird,EN,N,2012.0
Bleda eximius,Green-tailed Bristlebill,Bird,NT,N,2012.0
Burhinus grallarius,Bush Thick-knee,Bird,LC,N,2012.0
Bycanistes cylindricus,Brown-cheeked Hornbill,Bird,VU,N,2012.0
Cacicus koepckeae,Selva Cacique,Bird,EN,G,2012.0
Calidris pusilla,Semipalmated Sandpiper,Bird,NT,G,2012.0
Capito dayi,Black-girdled Barbet,Bird,VU,G,2012.0
Capito hypoleucus,White-mantled Barbet,Bird,VU,N,2012.0
Carduelis monguilloti,Vietnam Greenfinch,Bird,LC,N,2012.0
Cephalopterus glabricollis,Bare-necked Umbrellabird,Bird,EN,N,2012.0
Ceratogymna elata,Yellow-casqued Hornbill,Bird,VU,N,2012.0
Cercomacra carbonaria,Rio Branco Antbird,Bird,CR,G,2012.0
Cissa thalassina*,Short-tailed Green Magpie,Bird,CR,N,2012.0
Clangula hyemalis,Long-tailed Duck,Bird,VU,G,2012.0
Conirostrum bicolor,Bicoloured Conebill,Bird,NT,G,2012.0
Conirostrum margaritae,Pearly-breasted Conebill,Bird,VU,G,2012.0
Conopias cinchoneti,Lemon-browed Flycatcher,Bird,VU,G,2012.0
Cranioleuca curtata,Ash-browed Spinetail,Bird,VU,G,2012.0
Cranioleuca marcapatae,Marcapata Spinetail,Bird,VU,G,2012.0
Cranioleuca muelleri,Scaled Spinetail,Bird,EN,G,2012.0
Crax alector,Black Curassow,Bird,VU,G,2012.0
,Black-capped Tinamou,Bird,NT,G,2012.0
Crypturellus duidae,Grey-legged Tinamou,Bird,NT,G,2012.0
Cyanolyca viridicyanus,White-collared Jay,Bird,NT,G,2012.0
Cyanoramphus cookii,Norfolk Island Parakeet,Bird,CR,G,2012.0
Dasyornis longirostris,Western Bristlebird,Bird,EN,G,2012.0
Deconychura longicauda,Long-tailed Woodcreeper,Bird,NT,G,2012.0
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,Bird,VU,G,2012.0
Dendroplex kienerii,Zimmer's Woodcreeper,Bird,NT,G,2012.0
Dicrurus megarhynchus,Ribbon-tailed Drongo,Bird,NT,N,2012.0
Discosura popelairii,Wire-crested Thorntail,Bird,NT,G,2012.0
Ducula whartoni,Christmas Island Imperial-pigeon,Bird,NT,N,2012.0
Dysithamnus leucostictus,White-streaked Antvireo,Bird,VU,G,2012.0
Erythrotriorchis radiatus,Red Goshawk,Bird,NT,N,2012.0
Erythrura gouldiae,Gouldian Finch,Bird,NT,G,2012.0
Eubucco versicolor,Versicoloured Barbet,Bird,NT,G,2012.0
Falco cherrug,Saker Falcon,Bird,EN,N,2012.0
Falco deiroleucus,Orange-breasted Falcon,Bird,NT,G,2012.0
Falco hypoleucos,Grey Falcon,Bird,VU,N,2012.0
Formicivora littoralis,Restinga Antwren,Bird,EN,N,2012.0
Francolinus griseostriatus,Grey-striped Francolin,Bird,LC,N,2012.0
Geophaps smithii,Partridge Pigeon,Bird,VU,G,2012.0
Geotrygon saphirina,Sapphire Quail-dove,Bird,VU,G,2012.0
Gerygone modesta,Norfolk Island Gerygone,Bird,NT,N,2012.0
Grallaria milleri,Brown-banded Antpitta,Bird,VU,N,2012.0
Grallaria przewalskii,Rusty-tinged Antpitta,Bird,VU,G,2012.0
Grallaria watkinsi,Watkins's Antpitta,Bird,NT,N,2012.0
Grallaricula flavirostris,Ochre-breasted Antpitta,Bird,NT,G,2012.0
Gyps africanus,White-backed Vulture,Bird,EN,G,2012.0
Gyps rueppellii,Rueppell's Vulture,Bird,EN,G,2012.0
Heliodoxa gularis,Pink-throated Brilliant,Bird,VU,G,2012.0
Hemispingus parodii,Parodi's Hemispingus,Bird,NT,G,2012.0
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-tyrant,Bird,VU,N,2012.0
Herpsilochmus axillaris,Yellow-breasted Antwren,Bird,VU,G,2012.0
Herpsilochmus motacilloides,Creamy-bellied Antwren,Bird,NT,G,2012.0
Hylexetastes brigidai,Mato Grosso Woodcreeper,Bird,VU,G,2012.0
Hylexetastes uniformis,Uniform Woodcreeper,Bird,VU,G,2012.0
Hylophilus olivaceus,Olivaceous Greenlet,Bird,NT,G,2012.0
Hypocnemis cantator,Guianan Warbling-antbird,Bird,NT,G,2012.0
Hypopyrrhus pyrohypogaster,Red-bellied Grackle,Bird,VU,N,2012.0
Irena cyanogastra,Philippine Fairy-bluebird,Bird,NT,N,2012.0
Lepidothrix iris,Opal-crowned Manakin,Bird,VU,G,2012.0
Lepidothrix isidorei,Blue-rumped Manakin,Bird,NT,G,2012.0
Leptopogon taczanowskii,Inca Flycatcher,Bird,NT,G,2012.0
Lophornis gouldii,Dot-eared Coquette,Bird,VU,G,2012.0
Lophura edwardsi,Edwards's Pheasant,Bird,CR,N,2012.0
Lorius domicella,Purple-naped Lory,Bird,EN,G,2012.0
Malaconotus monteiri,Monteiro's Bush-shrike,Bird,NT,N,2012.0
Megascops barbarus,Bearded Screech-owl,Bird,VU,N,2012.0
Melanitta fusca,Velvet Scoter,Bird,EN,G,2012.0
Merops mentalis,Blue-moustached Bee-eater,Bird,NT,N,2012.0
Metallura odomae,Neblina Metaltail,Bird,LC,N,2012.0
Mitu tomentosum,Crestless Curassow,Bird,NT,G,2012.0
Myrmoborus lugubris,Ash-breasted Antbird,Bird,VU,G,2012.0
Myrmoborus melanurus,Black-tailed Antbird,Bird,VU,G,2012.0
Myrmornis torquata,Wing-banded Antbird,Bird,NT,G,2012.0
Myrmotherula grisea,Ashy Antwren,Bird,LC,N,2012.0
Myrmotherula gutturalis,Brown-bellied Antwren,Bird,NT,G,2012.0
Myrmotherula surinamensis,Guianan Streaked Antwren,Bird,VU,G,2012.0
Neochmia ruficauda,Star Finch,Bird,LC,N,2012.0
Neomorphus squamiger,Scaled Ground-cuckoo,Bird,VU,G,2012.0
Nothocercus nigrocapillus,Hooded Tinamou,Bird,VU,G,2012.0
Oceanodroma monorhis,Swinhoe's Storm-petrel,Bird,NT,N,2012.0
Odontophorus gujanensis,Marbled Wood-quail,Bird,NT,G,2012.0
Odontophorus speciosus,Rufous-breasted Wood-quail,Bird,NT,G,2012.0
Odontorchilus cinereus,Tooth-billed Wren,Bird,NT,G,2012.0
Ortalis superciliaris,Buff-browed Chachalaca,Bird,LC,N,2012.0
Pachycephala rufogularis,Red-lored Whistler,Bird,VU,G,2012.0
Patagioenas subvinacea,Ruddy Pigeon,Bird,VU,G,2012.0
,Sulawesi Hornbill,Bird,VU,N,2012.0
Percnostola lophotes,White-lined Antbird,Bird,NT,G,2012.0
Periporphyrus erythromelas,Red-and-black Grosbeak,Bird,NT,N,2012.0
Pezoporus occidentalis,Night Parrot,Bird,EN,N,2012.0
Phlogophilus hemileucurus,Ecuadorian Piedtail,Bird,VU,G,2012.0
Phoebastria nigripes,Black-footed Albatross,Bird,VU,N,2012.0
Phylloscartes gualaquizae,Ecuadorian Tyrannulet,Bird,NT,G,2012.0
Picumnus fuscus,Rusty-necked Piculet,Bird,LC,N,2012.0
Picumnus minutissimus,Guianan Piculet,Bird,NT,G,2012.0
Picumnus spilogaster,White-bellied Piculet,Bird,VU,G,2012.0
Picumnus steindachneri,Speckle-chested Piculet,Bird,EN,G,2012.0
Picumnus varzeae,Varzea Piculet,Bird,EN,G,2012.0
Pionites leucogaster,White-bellied Parrot,Bird,VU,G,2012.0
Pipile cumanensis,Blue-throated Piping-guan,Bird,VU,G,2012.0
Podiceps gallardoi,Hooded Grebe,Bird,CR,G,2012.0
Poecilotriccus luluae,Lulu's Tody-flycatcher,Bird,EN,G,2012.0
Poephila cincta,Black-throated Finch,Bird,LC,N,2012.0
Polytelis swainsonii,Superb Parrot,Bird,LC,N,2012.0
Pomarea dimidiata,Rarotonga Monarch,Bird,VU,G,2012.0
Pomarea mira,Ua Pou Monarch,Bird,CR(PE),N,2012.0
Prioniturus verticalis,Blue-winged Racquet-tail,Bird,CR,G,2012.0
Progne modesta,Galapagos Martin,Bird,EN,N,2012.0
Progne sinaloae,Sinaloa Martin,Bird,VU,N,2012.0
Psittacus erithacus,Grey Parrot,Bird,VU,N,2012.0
Psophia viridis,Dark-winged Trumpeter,Bird,EN,G,2012.0
Psophodes nigrogularis,Western Whipbird,Bird,LC,N,2012.0
Pteroglossus bitorquatus,Red-necked Aracari,Bird,NT,G,2012.0
Puffinus yelkouan,Yelkouan Shearwater,Bird,VU,G,2012.0
Pygoscelis adeliae,Adelie Penguin,Bird,NT,N,2012.0
Pyrilia barrabandi,Orange-cheeked Parrot,Bird,NT,G,2012.0
Pyrilia caica,Caica Parrot,Bird,NT,G,2012.0
Pyrilia vulturina,Vulturine Parrot,Bird,VU,G,2012.0
Pyrrhura lepida,Pearly Parakeet,Bird,VU,G,2012.0
Pyrrhura perlata,Crimson-bellied Parakeet,Bird,VU,G,2012.0
Pyrrhura rupicola,Black-capped Parakeet,Bird,NT,G,2012.0
Ramphastos ambiguus,Black-mandibled Toucan,Bird,VU,G,2012.0
Rhegmatorhina gymnops,Bare-eyed Antbird,Bird,VU,G,2012.0
Rhegmatorhina hoffmannsi,White-breasted Antbird,Bird,NT,G,2012.0
Rukia ruki,Faichuk White-eye,Bird,EN,N,2012.0
Sclerurus albigularis,Grey-throated Leaftosser,Bird,NT,G,2012.0
Sericossypha albocristata,White-capped Tanager,Bird,VU,G,2012.0
Simoxenops striatus,Bolivian Recurvebill,Bird,LC,N,2012.0
Snowornis subalaris,Grey-tailed Piha,Bird,NT,G,2012.0
Spizaetus ornatus,Ornate Hawk-eagle,Bird,NT,G,2012.0
Stachyris nonggangensis,Nonggang Babbler,Bird,VU,N,2012.0
Stagonopleura guttata,Diamond Firetail,Bird,LC,N,2012.0
Stephanoaetus coronatus,Crowned Hawk-eagle,Bird,NT,N,2012.0
Sterna acuticauda,Black-bellied Tern,Bird,EN,G,2012.0
Sterna aurantia,River Tern,Bird,NT,N,2012.0
Synallaxis cabanisi,Cabanis's Spinetail,Bird,NT,G,2012.0
Synallaxis kollari,Hoary-throated Spinetail,Bird,CR,G,2012.0
Synallaxis maranonica,Maranon Spinetail,Bird,CR,G,2012.0
Synallaxis moesta,Dusky Spinetail,Bird,NT,G,2012.0
Tachyeres leucocephalus,White-headed Steamerduck,Bird,VU,N,2012.0
Tangara argyrofenges,Straw-backed Tanager,Bird,VU,G,2012.0
Thamnophilus cryptoleucus,Castelnau's Antshrike,Bird,NT,G,2012.0
Thamnophilus nigrocinereus,Blackish-grey Antshrike,Bird,NT,G,2012.0
Thamnophilus tenuepunctatus,Lined Antshrike,Bird,VU,G,2012.0
Thinornis rubricollis,Hooded Plover,Bird,VU,G,2012.0
Tinamus guttatus,White-throated Tinamou,Bird,NT,G,2012.0
Tinamus major,Great Tinamou,Bird,NT,G,2012.0
Tinamus tao,Grey Tinamou,Bird,VU,G,2012.0
Touit huetii,Scarlet-shouldered Parrotlet,Bird,VU,G,2012.0
Turnix castanotus,Chestnut-backed Buttonquail,Bird,LC,N,2012.0
Turnix melanogaster,Black-breasted Buttonquail,Bird,NT,N,2012.0
Vanellus duvaucelii,River Lapwing,Bird,NT,N,2012.0
Vermivora crissalis,Colima Warbler,Bird,LC,N,2012.0
Xanthomyza phrygia,Regent Honeyeater,Bird,CR,G,2012.0
,Zigzag Heron,Bird,NT,G,2012.0
Zimmerius cinereicapilla,Red-billed Tyrannulet,Bird,VU,G,2012.0
Zosterops natalis,Christmas Island White-eye,Bird,NT,N,2012.0
Zosterops tenuirostris,Slender-billed White-eye,Bird,NT,N,2012.0
Amphiesma flavifrons,Sabah Keelback,Reptile,LC,N,2012.0
Anomochilus leonardi,Malayan Giant Blind Snake,Reptile,LC,N,2012.0
Asaccus platyrhynchus,,Reptile,LC,N,2012.0
Boiga bourreti,Bourret's Cat Snake,Reptile,EN,N,2012.0
Calamaria abstrusa,Padang Reed Snake,Reptile,DD,N,2012.0
Calamaria ingeri,,Reptile,CR,G,2012.0
Crocodylus moreletii,Morelet's Crocodile,Reptile,LC,N,2012.0
Cyclura lewisi,Grand Cayman Blue Iguana,Reptile,EN,G,2012.0
Gehyra brevipalmata,Palau Island Dtella,Reptile,LC,N,2012.0
Gongylosoma scripta,Common Ring-neck,Reptile,LC,N,2012.0
Iguanognathus werneri,Spatula-toothed Snake,Reptile,DD,N,2012.0
Naja siamensis,Black And White Spitting Cobra,Reptile,VU,G,2012.0
Oligodon lacroixi,Lacroix Kukri Snake,Reptile,VU,N,2012.0
Oligodon planiceps,,Reptile,LC,N,2012.0
Oligodon pulcherrimus,,Reptile,VU,N,2012.0
Paratapinophis praemaxillaris,Angel's Mountain Keelback,Reptile,LC,N,2012.0
Plagiopholis delacouri,,Reptile,DD,N,2012.0
Plagiopholis nuchalis,Assam Mountain Snake,Reptile,LC,N,2012.0
Pristurus ornithocephalus,Birdhead Rock Gecko,Reptile,LC,N,2012.0
Pristurus saada,Yemen Rock Gecko,Reptile,LC,N,2012.0
Protobothrops cornutus,Horned Pit Viper,Reptile,NT,N,2012.0
Protobothrops mangshanensis,Mangshan Pit Viper,Reptile,EN,N,2012.0
Protobothrops sieversorum,Three Horned-scaled Pitviper,Reptile,EN,N,2012.0
Pseudorabdion saravacense,,Reptile,LC,N,2012.0
Trimeresurus brongersmai,Brongersma's Pit Viper,Reptile,NT,N,2012.0
Typhlops koshunensis,Koshun Worm Snake,Reptile,DD,N,2012.0
Adenomus kandianus,,Amphibian,CR,N,2012.0
Anodonthyla hutchisoni,,Amphibian,EN,G,2012.0
Discoglossus nigriventer,Hula Painted Frog,Amphibian,CR,N,2012.0
Excidobates captivus,Rio Santiago Poison Frog,Amphibian,LC,N,2012.0
Hyperolius horstockii,,Amphibian,LC,N,2012.0
Incilius holdridgei,Holdridge's Toad,Amphibian,CR,N,2012.0
Ranitomeya fantastica,Fantastic Poison Frog,Amphibian,NT,N,2012.0
Acanthurus gahhm,Black Surgeonfish,Fish,LC,N,2012.0
Amblypharyngodon chulabhornae,,Fish,LC,N,2012.0
Cestraeus oxyrhyncus,Sharp-nosed River Mullet,Fish,DD,N,2012.0
Crossocheilus reticulatus,,Fish,LC,N,2012.0
Discherodontus halei,,Fish,DD,N,2012.0
Elops affinis,Ladyfish,Fish,DD,N,2012.0
Esomus longimanus,Mekong Flying Barb,Fish,DD,N,2012.0
Hippocampus algiricus,West African Seahorse,Fish,VU,N,2012.0
Hippocampus histrix,Spiny Seahorse,Fish,VU,N,2012.0
Hippocampus kelloggi,Great Seahorse,Fish,VU,N,2012.0
Hypsibarbus oatesii,,Fish,DD,N,2012.0
Monotrete baileyi,Hairy Puffer,Fish,LC,N,2012.0
Monotrete cambodgiensis,Cambodian Puffer,Fish,LC,N,2012.0
Opsarius pulchellus,,Fish,LC,N,2012.0
Parioglossus neocaledonicus,,Fish,DD,N,2012.0
Probarbus labeaminor,,Fish,NT,N,2012.0
Psammogobius biocellatus,Sleepy Goby,Fish,LC,N,2012.0
Redigobius bikolanus,Speckled Goby,Fish,LC,N,2012.0
Scarus guacamaia,Rainbow Parrotfish,Fish,NT,N,2012.0
Schistura cataracta,,Fish,LC,N,2012.0
Schistura dubia,,Fish,DD,N,2012.0
Schistura personata,,Fish,NT,N,2012.0
Schistura pervagata,,Fish,LC,N,2012.0
Schistura spiesi,,Fish,VU,N,2012.0
Syngnathus taenionotus,,Fish,DD,N,2012.0
,Feathered River-garfish,Fish,LC,N,2012.0
Aaadonta angaurana,,Mollusc,CR,N,2012.0
Aaadonta constricta,,Mollusc,EN,N,2012.0
Aaadonta fuscozonata,,Mollusc,EN,N,2012.0
Aaadonta irregularis,,Mollusc,CR,N,2012.0
Aaadonta kinlochi,,Mollusc,CR,N,2012.0
Aaadonta pelewana,,Mollusc,CR,N,2012.0
Conus africanus,,Mollusc,LC,N,2012.0
Conus nobrei,,Mollusc,NT,N,2012.0
Cumberlandia monodonta,Spectaclecase,Mollusc,EN,N,2012.0
Cyprogenia aberti,Western Fanshell,Mollusc,DD,N,2012.0
Diplommatina alata,,Mollusc,CR,N,2012.0
Diplommatina aurea,,Mollusc,CR,N,2012.0
Diplommatina crassilabris,,Mollusc,CR,N,2012.0
Diplommatina gibboni,,Mollusc,CR,N,2012.0
Diplommatina inflatula,,Mollusc,EN,N,2012.0
Diplommatina lamellata,,Mollusc,NT,N,2012.0
Diplommatina lutea,,Mollusc,NT,N,2012.0
Diplommatina pyramis,,Mollusc,EN,N,2012.0
Diplommatina ringens,,Mollusc,CR,N,2012.0
Elimia bellula,Walnut Elimia,Mollusc,EN,N,2012.0
Elimia interveniens,Slowwater Elimia,Mollusc,NT,N,2012.0
Elimia varians,Puzzle Elimia,Mollusc,VU,N,2012.0
Elimia variata,Squat Elimia,Mollusc,NT,N,2012.0
Elliptio nigella,Recovery Pearly Mussel,Mollusc,CR,N,2012.0
Elliptoideus sloatianus,Purple Bankclimber,Mollusc,VU,N,2012.0
Epioblasma capsaeformis,Oyster Mussel,Mollusc,EN,N,2012.0
Epioblasma othcaloogensis,Southern Acorn Riffle Shell,Mollusc,CR(PE),N,2012.0
Fontigens turritella,Greenbrier Cavesnail,Mollusc,NT,N,2012.0
Fusconaia cuneolus,Finerayed Pigtoe,Mollusc,EN,N,2012.0
Fusconaia lananensis,Fusconaia lananensis,Mollusc,EN,N,2012.0
Fusconaia subrotunda,Longsolid,Mollusc,VU,N,2012.0
Gyraulus cockburni,,Mollusc,EN,N,2012.0
Hungerfordia pelewensis,,Mollusc,EN,N,2012.0
Hydrobia lactea,,Mollusc,NT,N,2012.0
Kubaryia pilikia,,Mollusc,CR,N,2012.0
Lampedusa imitatrix,,Mollusc,EN,N,2012.0
Lampsilis abrupta,Pink Mucket,Mollusc,VU,N,2012.0
Lampsilis ornata,Southern Pocketbook,Mollusc,LC,N,2012.0
Lampsilis splendida,Rayed Pink Fatmucket,Mollusc,LC,N,2012.0
Lasmigona subviridis,,Mollusc,LC,N,2012.0
Leptoxis taeniata,Painted Rocksnail,Mollusc,EN,G,2012.0
Ligumia recta,Black Sandshell,Mollusc,LC,N,2012.0
Marstonia castor,Beaverpond Marstonia,Mollusc,CR,N,2012.0
Marstonia ogmoraphe,Royal Marstonia,Mollusc,LC,N,2012.0
Marstonia ozarkensis,Ozark Pyrg,Mollusc,CR,G,2012.0
Medionidus parvulus,Coosa Moccasinshell,Mollusc,EN,N,2012.0
Medionidus walkeri,Suwannee Moccasinshell,Mollusc,CR,N,2012.0
Neoplanorbis tantillus,Little Flat-top Snail,Mollusc,EX,N,2012.0
Obovaria haddletoni,Haddleton Lampmussel,Mollusc,CR,N,2012.0
Obovaria jacksoniana,Southern Hickorynut,Mollusc,VU,N,2012.0
Omphalotropis cheynei,,Mollusc,LC,N,2012.0
Palaina albata,,Mollusc,CR,N,2012.0
Palaina dimorpha,,Mollusc,NT,N,2012.0
Palaina moussoni,,Mollusc,CR,N,2012.0
Palaina patula,,Mollusc,CR,N,2012.0
Palaina platycheilus,,Mollusc,CR,N,2012.0
Palaina pupa,,Mollusc,CR,N,2012.0
Palaina rubella,,Mollusc,CR,N,2012.0
Palaina strigata,,Mollusc,VU,N,2012.0
Palaina striolata,,Mollusc,CR,N,2012.0
Palaina wilsoni,,Mollusc,EN,N,2012.0
Palaua minor,,Mollusc,LC,N,2012.0
Palline notera,,Mollusc,CR,N,2012.0
Partula thetis,,Mollusc,EN,N,2012.0
Pleurobema curtum,Black Clubshell,Mollusc,CR(PE),N,2012.0
,Ovate Clubshell,Mollusc,EX,N,2012.0
Pleurobema rubellum,Warrior Pigtoe,Mollusc,CR,N,2012.0
Pleurobema taitianum,Heavy Pigtoe,Mollusc,EN,N,2012.0
Pleurocera corpulenta,Stout Riversnail,Mollusc,CR,N,2012.0
Pleurocera foremani,Foreman's High-spired Riversnail,Mollusc,EN,N,2012.0
Pleuronaia barnesiana,Tennessee Pigtoe,Mollusc,LC,N,2012.0
Pleuronaia dolabelloides,Slab-sided Pearly Mussel,Mollusc,EN,N,2012.0
Potamilus capax,Fat Pocketbook,Mollusc,VU,G,2012.0
Pseudopalaina polymorpha,,Mollusc,CR,N,2012.0
Ptychobranchus greenii,Triangular Kidneyshell,Mollusc,EN,N,2012.0
Pupina difficilis,,Mollusc,LC,N,2012.0
Pyrgulopsis bernardina,San Bernadino Springsnail,Mollusc,EN,N,2012.0
Pyrgulopsis conica,Kingman Springsnail,Mollusc,VU,N,2012.0
Pyrgulopsis erythropoma,Ash Meadows Pebblesnail,Mollusc,CR,N,2012.0
Pyrgulopsis glandulosa,Verde Rim Springsnail,Mollusc,VU,N,2012.0
Pyrgulopsis metcalfi,Naegele Springsnail,Mollusc,EN,G,2012.0
Pyrgulopsis montezumensis,Montezuma Well Springsnail,Mollusc,VU,N,2012.0
Pyrgulopsis roswellensis,Roswell Springsnail,Mollusc,VU,G,2012.0
Pyrgulopsis thermalis,New Mexico Hotspring Snail,Mollusc,CR,N,2012.0
Pyrgulopsis thompsoni,Huachuca Springsnail,Mollusc,NT,G,2012.0
Pyrgulopsis trivialis,Three Forks Springsnail,Mollusc,CR,G,2012.0
Quadrula rumphiana,Ridged Mapleleaf,Mollusc,LC,N,2012.0
Rhodacmea filosa,Wicker Ancylid,Mollusc,CR,N,2012.0
Samoana diaphana,Polynesian Tree Snail,Mollusc,EN,N,2012.0
Semperdon kororensis,,Mollusc,CR,N,2012.0
Semperdon uncatus,,Mollusc,EN,N,2012.0
Semperdon xyleborus,,Mollusc,CR,N,2012.0
Somatogyrus virginicus,,Mollusc,LC,N,2012.0
Stagnicola bonnevillensis,Fat-whorled Pondsnail,Mollusc,CR,G,2012.0
Truncatella guerinii,,Mollusc,LC,N,2012.0
Tryonia brunei,Brune Spring Snail,Mollusc,CR(PE),N,2012.0
Vertigo angustior,Narrow-mouthed Whorl Snail,Mollusc,NT,N,2012.0
Vertigo moulinsiana,Desmoulin's Whorl Snail,Mollusc,VU,N,2012.0
Videna electra,,Mollusc,VU,N,2012.0
Videna oleacina,,Mollusc,EN,N,2012.0
Videna pagodula,,Mollusc,CR,N,2012.0
Videna pumila,,Mollusc,CR,N,2012.0
Abarema cochliocarpos,,Flowering Plants,LC,N,2012.0
Acacia ankokib,,Flowering Plants,VU,N,2012.0
Albizia glabripetala,,Flowering Plants,LC,N,2012.0
Aquilaria rostrata,,Flowering Plants,CR,N,2012.0
Baphia speciosa,,Flowering Plants,NT,N,2012.0
Beccariophoenix madagascariensis,,Flowering Plants,VU,N,2012.0
Berlinia coriacea,,Flowering Plants,LC,N,2012.0
Bobgunnia fistuloides,,Flowering Plants,LC,N,2012.0
Borassus madagascariensis,,Flowering Plants,EN,G,2012.0
Brachystegia zenkeri,,Flowering Plants,LC,N,2012.0
Dalbergia chapelieri,,Flowering Plants,NT,N,2012.0
Dalbergia peltieri,,Flowering Plants,LC,N,2012.0
Dypsis ampasindavae,,Flowering Plants,CR,N,2012.0
Dypsis andrianatonga,,Flowering Plants,VU,G,2012.0
Dypsis antanambensis,,Flowering Plants,CR,N,2012.0
Dypsis basilonga,,Flowering Plants,CR,G,2012.0
Dypsis bejofo,,Flowering Plants,VU,N,2012.0
Dypsis canescens,,Flowering Plants,DD,N,2012.0
Dypsis ceracea,,Flowering Plants,EN,N,2012.0
Dypsis commersoniana,,Flowering Plants,DD,N,2012.0
Dypsis coursii,,Flowering Plants,LC,N,2012.0
Dypsis decipiens,,Flowering Plants,VU,N,2012.0
Dypsis dransfieldii,,Flowering Plants,NT,N,2012.0
Dypsis fasciculata,,Flowering Plants,NT,N,2012.0
Dypsis ligulata,,Flowering Plants,DD,N,2012.0
Dypsis madagascariensis,,Flowering Plants,LC,N,2012.0
Dypsis malcomberi,,Flowering Plants,EN,G,2012.0
Dypsis mananjarensis,,Flowering Plants,NT,N,2012.0
Dypsis mcdonaldiana,,Flowering Plants,EN,G,2012.0
Dypsis saintelucei,,Flowering Plants,EN,N,2012.0
Dypsis utilis,,Flowering Plants,EN,N,2012.0
Erigeron incertus,,Flowering Plants,EN,N,2012.0
Erythrina burana,,Flowering Plants,LC,N,2012.0
