Name,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts,Plants,Fungi,Chromists,Total
Tunisia,15,13,6,0,58,9,14,12.0,2,0,258.0
Western Sahara,11,6,1,0,63,2,1,1.0,0,0,170.0
Canada,18,22,6,1,53,21,24,21.0,29,0,390.0
Saint Pierre and Miquelon,4,9,0,0,13,0,0,0.0,0,0,52.0
United States,43,87,38,59,284,320,347,695.0,87,0,1960.0
Belarus,4,11,0,0,3,3,9,2.0,4,0,72.0
Moldova,6,12,2,0,8,2,4,2.0,0,0,72.0
Russian Federation,33,57,8,0,65,7,37,68.0,41,0,632.0
Ukraine,13,18,1,0,25,9,38,29.0,14,0,294.0
American Samoa,1,6,6,0,24,5,61,2.0,0,0,210.0
Australia,69,66,76,46,216,182,412,791.0,13,0,1871.0
Christmas Island,2,5,3,0,22,0,20,2.0,0,0,108.0
Cocos (Keeling) Islands,2,1,1,0,24,0,21,0.0,0,0,98.0
Cook Islands,1,11,3,0,20,1,33,13.0,0,0,164.0
Fiji,7,14,16,0,33,84,108,95.0,0,0,714.0
French Polynesia,0,35,3,0,37,33,35,56.0,0,0,398.0
Guam,3,12,5,0,25,6,55,5.0,0,0,222.0
Kiribati,2,6,2,0,24,1,81,0.0,0,0,232.0
Marshall Islands,1,5,4,0,27,1,73,0.0,0,0,222.0
"Micronesia, Federated States of",6,13,8,0,32,3,118,8.0,0,0,376.0
Nauru,2,3,0,0,20,0,69,0.0,0,0,188.0
New Caledonia,8,18,72,0,51,28,102,719.0,4,0,1002.0
New Zealand,9,66,52,3,48,39,26,21.0,13,0,554.0
Niue,1,7,4,0,18,0,31,2.0,0,0,126.0
Norfolk Island,1,11,2,0,14,12,12,2.0,0,0,108.0
Northern Mariana Islands,3,13,4,0,24,4,54,6.0,0,0,216.0
Palau,5,6,4,0,29,40,109,5.0,0,0,396.0
Papua New Guinea,51,37,13,28,134,24,182,661.0,3,0,1133.0
Pitcairn,0,9,0,0,12,5,12,10.0,0,0,96.0
Samoa,2,5,4,0,26,4,64,11.0,0,0,232.0
Solomon Islands,24,20,7,3,43,2,148,56.0,0,0,606.0
Tokelau,0,0,3,0,22,0,36,0.0,0,0,122.0
Tonga,2,5,4,0,29,25,45,10.0,0,0,240.0
Tuvalu,2,0,4,0,21,1,78,0.0,0,0,212.0
United States Minor Outlying Islands,0,10,1,0,18,0,38,0.0,0,0,134.0
Vanuatu,8,8,5,0,30,3,89,15.0,0,0,316.0
Wallis and Futuna,0,7,2,0,21,0,64,3.0,0,0,194.0
Argentina,39,54,29,33,106,0,19,74.0,21,0,750.0
"Bolivia, Plurinational States of",24,47,14,53,13,2,1,298.0,0,0,904.0
Brazil,97,153,94,41,367,22,82,,36,0,892.0
Chile,18,34,28,34,43,1,13,93.0,19,0,566.0
Colombia,63,97,39,292,183,4,77,950.0,6,0,1711.0
Ecuador,49,83,93,247,100,49,27,,2,6,656.0
Falkland Islands (Malvinas),4,8,0,0,7,0,0,5.0,6,0,60.0
French Guiana,8,5,7,5,61,0,1,43.0,0,0,260.0
Guyana,11,11,6,21,68,0,1,83.0,1,0,404.0
Paraguay,11,27,12,1,6,0,2,22.0,2,0,166.0
Peru,51,92,33,139,90,4,7,568.0,1,0,1970.0
Suriname,9,5,6,1,63,0,1,44.0,0,0,258.0
Uruguay,9,22,7,4,69,0,3,22.0,1,0,274.0
"Venezuela, Bolivarian Republic of",37,40,32,128,105,1,59,464.0,2,0,1736.0
Bangladesh,39,36,30,0,77,0,7,35.0,0,0,448.0
Bhutan,28,19,10,1,5,0,1,57.0,2,0,246.0
